Giá vé tàu,,trip time,,,,,,,,
Line,Fare,Src,Dst,Dist (km),Time (min),,,avgSpeedLine,,avgSpeedAll
,,Khlong Bang Phai,Talat Bang Yai,1.1,2,MRT Purple Line,33,35.38461538,,
,,Talat Bang Yai,Sam Yaek Bang Yai ,1.4,2,,42,,,
,,Sam Yaek Bang Yai ,Bang Phlu,1.2,2,,36,,,
,,Bang Phlu,Bang Rak Yai,0.9,2,,27,,,
,,Bang Rak Yai,Bang Rak Noi Tha It,1,2,,30,,,
,,Bang Rak Noi Tha It,Sai Ma,1,2,,30,,,
,,Sai Ma,Phra Nangklao Bridge ,1.5,2,,45,,,
,,Phra Nangklao Bridge ,Yaek Nonthaburi,1.7,3,,34,,,
,,Yaek Nonthaburi,Nonthaburi Civic Center,1.9,3,,38,,,
,,Nonthaburi Civic Center,Ministry of Puclic Health,1.7,3,,34,,,
,,Ministry of Puclic Health,Yaek Tiwanon ,0.8,2,,24,,,
,,Yaek Tiwanon ,Wong Sawang,1.4,2,,42,,,
,,Wong Sawang,Bang Son,1.5,2,,45,,,
,,suvarnabhumi,lat krabang,4.5,4,SRT Dark Red Line,67.5,60.76666667,,
,,lat krabang,ban thap chang,6.3,5,,75.6,,,
,,ban thap chang,hua mak,5,4,,75,,,
,,hua mak,ramkhamhaeng,4.9,4,,73.5,,,
,,ramkhamhaeng,makkasan,4.4,1.267,,208.4,,,
,,makkasan,ratchaprarop,2,3,,40,,,
,,taling chan,bang bamru,4.3,4,SRT Light Red Line,64.5,47.5,,
,,bang bamru,bang son,7,7,,60,,,
,,bang son,bang sue,1.5,5,,18,,,
,,rangsit,lak hok,2.7,3,,54,52.22222222,,
,,lak hok,don mueang,5.1,3,,102,,,
,,don mueang,kan kheha,2.8,4,,42,,,
,,kan kheha,lak si,1.5,2,,45,,,
,,lak si,thung song hong,3.2,3,,64,,,
,,thung song hong,bang khen,1.6,3,,32,,,
,,bang khen,wat samian nari,0.9,2,ARL Airport Rail Link,27,,,
,,wat samian nari,chatuchak,1.8,2,,54,,,
,,chatuchak,bang sue,2.5,3,,50,,,
,,Klong San,Charoen Nakhon,0.5,2,APM GOLD LINE,15,20.5,,
,,Charoen Nakhon,Krung Thon Buri,1.3,3,,26,,,
,,Lat Phrao,Phawana,1.4,4, ,21,34.63636364,,
,,Phawana,Chok Chai 4,1.6,2,,48,,,
,,Chok Chai 4,Lat Phrao 71,1.6,3, ,32,,,
,,Lat Phrao 71,Lat Phrao 83,0.8,2,,24,,,
,,Lat Phrao 83,Mahat Thai,1.2,3, ,24,,,
,,Mahat Thai,Lat Phrao 101,0.85,2,,25.5,,,
,,Lat Phrao 101,Bang Kapi,1.2,3, ,24,,,
,,Bang Kapi,Yaek Lam Sali,1.2,2,,36,,,
,,Yaek Lam Sali,Si Kritha,1.3,3, ,26,,,
,,Si Kritha,Hua Mak,1.6,3,,32,,,
,,Hua Mak,Kelantan,1.5,3, ,30,,,
,,Kelantan,Si Nut,1.7,2,,51,,,
,,Si Nut,Srinagarindra,1.2,1, ,72,,,
,,Srinagarindra,Suan Luang Rama IX,1.1,3,,22,,,
,,Suan Luang Rama IX,Si Udom,1.6,2, ,48,,,
,,Si Udom,Si Lam,1.1,2,,33,,,
,,Si Lam,Si La Salle,1.3,2, ,39,,,
,,Si La Salle,Si Bearing,1.6,3,,32,,,
,,Si Bearing,Si Dan,1.4,2, ,42,,,
,,Si Dan,Si Thepha,1.2,3,,24,,,
,,Si Thepha,Thipphawan,1.6,2,BRT Sathom-RatchapRuek Line,48,,,
,,Thipphawan,Samrong,1.9,4,,28.5,,,
,,Nonthaburi Civic Center,Khae Rai,1.3,3,MRT Pink,26,29.46774194,,
,,Khae Rai,Sanambin Nam,1.38,3,,27.6,,,
,,Sanambin Nam,Samakkhi,1.8,3,,36,,,
,,Samakkhi,Royal Irrigation Department,1.1,3,,22,,,
,,Royal Irrigation Department,Yaek Pak Kret,1,4,,15,,,
,,Yaek Pak Kret,Pak Kret Bypass,1.2,3,,24,,,
,,Pak Kret Bypass,Chaeng Watthana-Pak Kret 28,1.5,3,,30,,,
,,Chaeng Watthana-Pak Kret 28,Si Rat,1.3,2,,39,,,
,,Si Rat,Muang Thong Thani,1.15,3,,23,,,
,,Muang Thong Thani,Impact Muang Thong Thani,1.8,3,,36,,,
,,Impact Muang Thong Thani,Lake Muang Thong Thani,0.8,2,,24,,,
,,Muang Thong Thani,Chaeng Watthana 14,1.5,3,,30,,,
,,Chaeng Watthana 14,Goverment Complex,0.8,3,,16,,,
,,Goverment Complex,National Telecom,1.6,3,,32,,,
,,National Telecom,Lak Si,0.82,3,,16.4,,,
,,Lak Si,Rajabhat Phranakhon,0.85,3,,17,,,
,,Rajabhat Phranakhon,Wat Phra Sri Mahatat,0.9,3,,18,,,
,,Wat Phra Sri Mahatat,Ram Inthra 3,0.85,3,,17,,,
,,Ram Inthra 3,Lat Pla Khao,1.9,2,,57,,,
,,Lat Pla Khao,Ram Inthra Kor Mor 4,1,2,,30,,,
,,Ram Inthra Kor Mor 4,Maiyalap ,0.75,2,,22.5,,,
,,Maiyalap,Vacharaphol,1.4,2,,42,,,
,,Vacharaphol,Ram Inthra Kor Mor 6,0.9,2,,27,,,
,,Ram Inthra Kor Mor 6,Khu Bon,1.1,2,,33,,,
,,Khu Bon,Ram Inthra Kor Mor 9,1.2,2,,36,,,
,,Ram Inthra Kor Mor 9,Outer Ring Road-Ram Inthra,1.7,3,,34,,,
,,Outer Ring Road-Ram Inthra,Nopparat,1.3,2,,39,,,
,,Nopparat,Bang Chan,2.1,3,,42,,,
,,Bang Chan,Setthabutbamphen,1.1,2,,33,,,
,,Setthabutbamphen,Min Buri Market,1.4,2,,42,,,
,,Min Buri Market,Min Buri,0.9,2,,27,,,
